src_account,dst_account,cluster_id,edge_type
acct_11e26679190d,acct_22d6c9a8e93f,0,inbound
acct_7bc56ac8189f,acct_ea2113b7e475,0,inbound
acct_40144bdabe7b,acct_99ec6b61f0d2,0,inbound
acct_a723d02567fe,acct_cebee1fa95a4,0,inbound
acct_e7c69e8f4e30,acct_22d6c9a8e93f,0,inbound
acct_eb9ef5f8d382,acct_643cd3ffbd5e,0,inbound
acct_f3da2ae7474e,acct_ea2113b7e475,0,inbound
acct_2413201feb8d,acct_bca032927418,0,inbound
acct_59c73ce8178f,acct_bca032927418,0,inbound
acct_598de3ab4ad9,acct_643cd3ffbd5e,0,inbound
acct_40768cba3499,acct_0791ecb88f95,0,inbound
acct_28a042591ce7,acct_22d6c9a8e93f,0,inbound
acct_33e48f189160,acct_ea2113b7e475,0,inbound
acct_bac1babd202d,acct_ea2113b7e475,0,inbound
acct_084d277a1f1b,acct_377d0045811a,0,inbound
acct_d94031e735bc,acct_3d180a6ca771,0,inbound
acct_fec8c8b4af99,acct_3d180a6ca771,0,inbound
acct_45d2fc4fa626,acct_377d0045811a,0,inbound
acct_97f622f786de,acct_643cd3ffbd5e,0,inbound
acct_41e28f7495a1,acct_121145e87a6b,0,inbound
acct_1d021841346a,acct_f01ec9c686f8,0,inbound
acct_cebee1fa95a4,acct_643cd3ffbd5e,0,fanin
acct_5969580f8839,acct_ea2113b7e475,0,fanin
acct_22d6c9a8e93f,acct_121145e87a6b,0,fanin
acct_0791ecb88f95,acct_ea2113b7e475,0,fanin
acct_0791ecb88f95,acct_121145e87a6b,0,fanin
acct_99ec6b61f0d2,acct_643cd3ffbd5e,0,fanin
acct_4c96771cc812,acct_ea2113b7e475,0,fanin
acct_377d0045811a,acct_ea2113b7e475,0,fanin
acct_f01ec9c686f8,acct_643cd3ffbd5e,0,fanin
acct_99ec6b61f0d2,acct_ea2113b7e475,0,fanin
acct_22d6c9a8e93f,acct_121145e87a6b,0,fanin
acct_99ec6b61f0d2,acct_121145e87a6b,0,fanin
acct_5969580f8839,acct_121145e87a6b,0,fanin
acct_4c96771cc812,acct_121145e87a6b,0,fanin
acct_377d0045811a,acct_121145e87a6b,0,fanin
acct_22d6c9a8e93f,acct_ea2113b7e475,0,fanin
acct_4da8c8462359,acct_121145e87a6b,0,fanin
acct_cebee1fa95a4,acct_121145e87a6b,0,fanin
acct_ea2113b7e475,acct_6b84da218a77,0,fanout
acct_121145e87a6b,acct_b734358c0f71,0,fanout
acct_ea2113b7e475,acct_b734358c0f71,0,fanout
acct_643cd3ffbd5e,acct_6b84da218a77,0,fanout
acct_ea2113b7e475,acct_8dec48b91fde,0,fanout
acct_121145e87a6b,acct_6b84da218a77,0,fanout
acct_ea2113b7e475,acct_b734358c0f71,0,fanout
acct_643cd3ffbd5e,acct_6b84da218a77,0,fanout
acct_ea2113b7e475,acct_97ddbcf6f58f,0,fanout
acct_643cd3ffbd5e,acct_6b84da218a77,0,fanout
acct_121145e87a6b,acct_b734358c0f71,0,fanout
acct_4c96771cc812,acct_0791ecb88f95,0,chain
acct_b734358c0f71,acct_ea2113b7e475,0,chain
acct_b734358c0f71,acct_377d0045811a,0,chain
acct_cebee1fa95a4,acct_b734358c0f71,0,chain
acct_4c96771cc812,acct_4da8c8462359,0,chain
acct_4da8c8462359,acct_4c96771cc812,0,chain
acct_cebee1fa95a4,acct_ea2113b7e475,0,chain
acct_643cd3ffbd5e,acct_22d6c9a8e93f,0,chain
acct_22d6c9a8e93f,acct_4c96771cc812,0,chain
acct_fd7b8283dd5b,acct_5969580f8839,0,inbound
acct_6d880205f383,acct_4c96771cc812,0,inbound
acct_b5732df8a656,acct_121145e87a6b,0,inbound
acct_93e1f118f8ba,acct_643cd3ffbd5e,0,inbound
acct_12a3084daa09,acct_ea2113b7e475,0,inbound
acct_2a1c5a808d0d,acct_ea2113b7e475,0,inbound
acct_4338846a65cd,acct_3d180a6ca771,0,inbound
acct_78961e5bb341,acct_4c96771cc812,0,inbound
acct_4338846a65cd,acct_121145e87a6b,0,inbound
acct_aa13b07748c6,acct_22d6c9a8e93f,0,inbound
acct_3ec054ef26cd,acct_f01ec9c686f8,0,inbound
acct_9641186a30c7,acct_218ccf971620,0,inbound
acct_8559a4e5dc9f,acct_5969580f8839,0,inbound
acct_0733afc3c4dd,acct_121145e87a6b,0,inbound
acct_918798725c9f,acct_0791ecb88f95,0,inbound
acct_a95fcac888e7,acct_377d0045811a,0,inbound
acct_da159001e27a,acct_f01ec9c686f8,0,inbound
acct_acda4cd2ddc9,acct_99ec6b61f0d2,0,inbound
acct_df7c30748c38,acct_99ec6b61f0d2,0,inbound
acct_c08643fefb36,acct_cebee1fa95a4,0,inbound
acct_5757d3e370fc,acct_4da8c8462359,0,inbound
acct_a877e306fa23,acct_643cd3ffbd5e,0,inbound
acct_01e846b8b27a,acct_0791ecb88f95,0,inbound
acct_d463fa826ff1,acct_22d6c9a8e93f,0,inbound
acct_ffde999463db,acct_377d0045811a,0,inbound
acct_c5fc2a3ae986,acct_22d6c9a8e93f,0,inbound
acct_136a59c6d4bf,acct_5969580f8839,0,inbound
acct_dc352177d87c,acct_bca032927418,0,inbound
acct_2c8ec7f7c81d,acct_121145e87a6b,0,inbound
acct_614b63885539,acct_218ccf971620,0,inbound
acct_3382efbb3850,acct_cebee1fa95a4,0,inbound
acct_00f8b94efacc,acct_f01ec9c686f8,0,inbound
acct_2fc849ada8b4,acct_0791ecb88f95,0,inbound
acct_11c846b4eb85,acct_0791ecb88f95,0,inbound
acct_68cd94c91370,acct_f01ec9c686f8,0,inbound
acct_bca032927418,acct_643cd3ffbd5e,0,fanin
acct_bca032927418,acct_121145e87a6b,0,fanin
acct_5969580f8839,acct_ea2113b7e475,0,fanin
acct_218ccf971620,acct_ea2113b7e475,0,fanin
acct_bca032927418,acct_643cd3ffbd5e,0,fanin
acct_218ccf971620,acct_ea2113b7e475,0,fanin
acct_bca032927418,acct_ea2113b7e475,0,fanin
acct_cebee1fa95a4,acct_643cd3ffbd5e,0,fanin
acct_99ec6b61f0d2,acct_643cd3ffbd5e,0,fanin
acct_cebee1fa95a4,acct_ea2113b7e475,0,fanin
acct_4da8c8462359,acct_ea2113b7e475,0,fanin
