txn_id,timestamp,src_account,dst_account,amount,src_country,dst_country,currency,channel,is_cross_border,is_off_hours,is_planted_mule_edge,planted_cluster_id,src_kyc_risk,dst_kyc_risk,src_age_days,dst_age_days,shared_device,shared_ip,near_threshold,src_new_account,dst_new_account
txn_4e8adf71dba1,2025-01-01 00:07:12,acct_6dfcd8f9e412,acct_6c8c2aefa7b8,16.51,CZ,DE,CZK,p2p,1,1,0,-1,0.28600228395670974,0.22317316320481367,155,400,0,0,0,0,0
txn_f70fb14f7b86,2025-01-01 00:09:46,acct_1a82985efe8e,acct_6e5f16bf35a7,8.32,ES,ES,EUR,bank_transfer,0,1,0,-1,0.24137068372905895,0.24068806248663388,131,218,0,0,0,0,0
txn_a7c58304b361,2025-01-01 00:11:06,acct_af490b26272e,acct_a16e15a45bb0,20.67,LT,ES,EUR,bank_transfer,1,1,0,-1,0.2790283100915656,0.24699056158066468,157,300,0,0,0,0,0
txn_f3f4833f54e0,2025-01-01 00:12:59,acct_e69f5df6650a,acct_7a7837f7e703,75.1,FR,LT,EUR,bank_transfer,1,1,0,-1,0.1483828996828711,0.06691310917057963,71,415,0,0,0,0,0
txn_c6ee26df286a,2025-01-01 00:37:19,acct_b41aaecabb0f,acct_46d26c90e5cf,38.12,LV,PL,EUR,p2p,1,1,0,-1,0.147566429613713,0.01,324,447,0,0,0,0,0
txn_8c0d9aefb375,2025-01-01 00:49:26,acct_a58498d3602e,acct_cf50d2451c81,27.49,NL,EE,EUR,bank_transfer,1,1,0,-1,0.08124550048395343,0.3435183019980473,377,264,0,0,0,0,0
txn_4a58d442699c,2025-01-01 01:01:57,acct_aac7d71169ba,acct_6e36bc69aa4e,34.33,GB,FR,GBP,bank_transfer,1,1,0,-1,0.38264922002652535,0.027338845068796802,255,380,0,0,0,0,0
txn_54d5fb4d8561,2025-01-01 01:14:16,acct_75d46ca9b46e,acct_ac46958e8642,24.72,ES,NL,EUR,bank_transfer,1,1,0,-1,0.013459360674535292,0.287290317834733,401,16,0,0,0,0,1
txn_6a786a628d86,2025-01-01 01:15:54,acct_5f54d823b032,acct_b03d53105b14,83.69,RO,BE,RON,bank_transfer,1,1,0,-1,0.01,0.1331053731313197,24,329,0,0,0,1,0
txn_46e5a6d6ee77,2025-01-01 01:16:26,acct_d81e3a6e63e1,acct_fd5a4bac1b65,36.87,EE,NL,EUR,bank_transfer,1,1,0,-1,0.3345431606766104,0.3322929456942446,99,352,0,0,0,0,0
txn_b99ff25614d6,2025-01-01 01:18:37,acct_ac46958e8642,acct_3b486fe62552,71.97,NL,PL,EUR,card_topup,1,1,0,-1,0.287290317834733,0.03610619792716063,16,10,0,0,0,1,1
txn_8f0b8b70994b,2025-01-01 01:19:16,acct_e03c164180bd,acct_6d880205f383,6.2,PL,PL,PLN,merchant,0,1,0,-1,0.29866592992278285,0.08968419469331071,426,199,0,0,0,0,0
txn_1aae8926f3b4,2025-01-01 01:38:01,acct_74048e100a73,acct_ea6d8fddf70b,94.23,ES,ES,EUR,bank_transfer,0,1,0,-1,0.14023436291284297,0.2583992460938561,348,150,0,0,1,0,0
txn_045449be6b8f,2025-01-01 01:54:42,acct_0697b4d71f73,acct_73b3a60583ef,294.56,RO,NL,RON,merchant,1,1,0,-1,0.14978649937335153,0.3258095333043777,96,279,0,0,0,0,0
txn_7fe05595b058,2025-01-01 02:09:56,acct_2413201feb8d,acct_bc7aa87ba1ba,95.07,ES,NL,EUR,p2p,1,1,0,-1,0.11313608909349493,0.17240430920714728,92,234,0,0,1,0,0
txn_cc5de14cff12,2025-01-01 02:14:23,acct_cc30bf729c1b,acct_499892f81db4,120.65,GB,ES,GBP,card_topup,1,1,0,-1,0.3098009298232915,0.16750620415768064,184,378,0,0,0,0,0
txn_e405e369b8ff,2025-01-01 02:15:29,acct_f299ff635ab0,acct_e2bf2d9ea983,52.03,ES,DE,EUR,card_topup,1,1,0,-1,0.31081339886695536,0.52873299533071,156,281,0,0,0,0,0
txn_9557a9e1b91d,2025-01-01 02:19:44,acct_489c7fec28ff,acct_d7ac49ebd680,9.09,EE,LT,EUR,p2p,1,1,0,-1,0.04214098333803215,0.3512054284103107,298,419,0,0,0,0,0
txn_1a348aab4607,2025-01-01 02:21:02,acct_72e984188311,acct_3019e2a0d0c3,77.58,NL,CZ,EUR,merchant,1,1,0,-1,0.24139329018741312,0.12307313259842535,224,96,0,0,0,0,0
txn_2dd17f3a2726,2025-01-01 02:25:33,acct_b80bc6661a3b,acct_5bdb2169298d,54.4,DE,EE,EUR,p2p,1,1,0,-1,0.26657010706567985,0.22093944062046378,72,23,0,0,0,0,1
txn_de49df0d2595,2025-01-01 02:32:21,acct_ca8e192c032c,acct_93d09319f425,37.08,ES,GB,EUR,bank_transfer,1,1,0,-1,0.21786239935059679,0.11269947612334447,89,94,0,0,0,0,0
txn_446f11185555,2025-01-01 02:37:47,acct_589a8b39bca3,acct_cf1be25389e4,26.26,DE,BE,EUR,bank_transfer,1,1,0,-1,0.33392863763561553,0.4100118434640292,132,28,0,0,0,0,1
txn_57a4339aa76e,2025-01-01 02:40:27,acct_3e31d7f75d56,acct_b7e4bf67683a,15.94,FR,EE,EUR,bank_transfer,1,1,0,-1,0.16798022583150862,0.3192131512497929,83,317,0,0,0,0,0
txn_6cdb2b9307c4,2025-01-01 02:50:58,acct_fe3122872b62,acct_0fe754c42429,11.22,EE,BE,EUR,bank_transfer,1,1,0,-1,0.0949068898028197,0.2086780194589181,453,321,0,0,0,0,0
